Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-228122,PF/C,Collin,Collin Murray-Boyles,Murray-Boyles,21.12926799,41,5700,CHI@TOR,TOR,CHI,,,,,,PF/C
126408-228118,SG/PG,Tre,Tre Johnson,Johnson,20.85128236,39,5000,WAS@DET,WAS,DET,O,Ankle,,,,PG/SG
126408-228119,SG/SF,Ace,Ace Bailey,Bailey,20.78409091,44,5600,UTA@ATL,UTA,ATL,,,,,,SG/SF
126408-228109,PG/SG,Egor,Egor Demin,Demin,20.69999943,43,4700,BKN@ORL,BKN,ORL,,,,,,PG/SG
126408-203767,SF/PF,Zaccharie,Zaccharie Risacher,Risacher,20.41578915,38,4100,UTA@ATL,ATL,UTA,,,,,,SF/PF
126408-85137,SG/SF,Duncan,Duncan Robinson,Robinson,20.17021277,47,4000,WAS@DET,DET,WAS,,,,,,SG/SF
126408-80815,C/PF,Zach,Zach Collins,Collins,19.46999969,10,3500,CHI@TOR,CHI,TOR,O,Toe,,,,PF/C
126408-203798,PG/SG,Jamal,Jamal Shead,Shead,19.45384568,52,4100,CHI@TOR,TOR,CHI,,,,,,PG/SG
126408-188413,SF/SG,Brice,Brice Sensabaugh,Sensabaugh,19.17291641,48,5300,UTA@ATL,UTA,ATL,,,,,,SG/SF
126408-203762,PF/SF,Ronald,Ronald Holland,Holland,19.01914946,47,3900,WAS@DET,DET,WAS,,,,,,SF/PF
126408-110359,C,Goga,Goga Bitadze,Bitadze,18.99268322,41,3800,BKN@ORL,ORL,BKN,,,,,,C
126408-158855,SF/PF,Justin,Justin Champagnie,Champagnie,18.88913097,46,4800,WAS@DET,WAS,DET,,,,,,SF/PF
126408-15946,PF/SF,Harrison,Harrison Barnes,Barnes,18.78400024,50,3800,SA@DAL,SA,DAL,,,,,,SF/PF
126408-58312,PG,D'Angelo,D'Angelo Russell,Russell,18.70000047,26,4600,WAS@DET,WAS,DET,D,Illness,,,,PG
126408-110315,SF/SG,Terance,Terance Mann,Mann,18.57209246,43,3900,BKN@ORL,BKN,ORL,,,,,,SG/SF
126408-188425,C,Dereck,Dereck Lively,Lively,18.41428484,7,3500,SA@DAL,DAL,SA,O,Foot,,,,C
126408-14509,SF/SG,Klay,Klay Thompson,Thompson,18.14347773,46,3900,SA@DAL,DAL,SA,,,,,,SG/SF
126408-228111,PF/SF,Danny,Danny Wolf,Wolf,17.9400007,35,4700,BKN@ORL,BKN,ORL,,,,,,SF/PF
